"Date","Price","Open","High","Low","Vol.","Change %"
"11/29/2024","40.57","40.53","40.75","40.35","","0.21%"
"11/28/2024","40.49","40.76","40.83","40.27","","-0.60%"
"11/27/2024","40.73","40.72","40.97","40.60","","0.12%"
"11/26/2024","40.68","40.69","40.96","40.36","","0.08%"
"11/25/2024","40.65","40.19","40.82","40.19","","1.26%"
"11/22/2024","40.14","40.56","40.62","39.89","","-0.94%"
"11/21/2024","40.52","40.81","41.09","40.49","","-0.61%"
"11/20/2024","40.77","41.09","41.22","40.66","","-0.67%"
"11/19/2024","41.05","41.33","41.37","40.86","","-0.57%"
"11/18/2024","41.28","40.94","41.36","40.78","","0.92%"
"11/15/2024","40.91","41.07","41.37","40.83","","-0.29%"
"11/14/2024","41.03","40.85","41.33","40.74","","0.52%"
"11/13/2024","40.82","40.81","41.21","40.65","","0.10%"
"11/12/2024","40.77","40.71","41.00","40.66","","0.24%"
"11/11/2024","40.68","41.25","41.34","40.56","","-1.30%"
"11/08/2024","41.21","42.02","42.05","41.14","","-1.82%"
"11/07/2024","41.97","41.44","42.18","41.25","","1.38%"
"11/06/2024","41.40","42.01","42.13","41.13","","-1.34%"
"11/05/2024","41.97","41.99","42.13","41.80","","0.02%"
"11/04/2024","41.96","41.71","42.20","41.71","","0.66%"
"11/01/2024","41.68","41.84","42.03","41.67","","-0.32%"
"10/31/2024","41.81","41.80","41.88","41.58","","0.13%"
"10/30/2024","41.76","42.06","42.11","41.52","","-0.61%"
"10/29/2024","42.02","42.04","42.21","41.87","","0.07%"
"10/28/2024","41.99","41.76","42.12","41.75","","0.63%"
"10/25/2024","41.72","41.86","41.99","41.73","","-0.22%"
"10/24/2024","41.82","41.80","41.88","41.64","","0.12%"
"10/23/2024","41.77","41.97","42.21","41.70","","-0.42%"
"10/22/2024","41.94","41.75","42.12","41.71","","0.56%"
"10/21/2024","41.71","41.94","42.08","41.70","","-0.62%"
"10/18/2024","41.97","41.93","42.06","41.83","","0.16%"
"10/17/2024","41.90","41.99","42.14","41.77","","-0.12%"
"10/16/2024","41.95","42.40","42.47","41.92","","-0.97%"
"10/15/2024","42.37","42.35","42.52","42.22","","0.11%"
"10/14/2024","42.32","42.45","42.53","42.26","","-0.23%"
"10/11/2024","42.42","42.72","42.76","42.40","","-0.61%"
"10/10/2024","42.68","42.82","43.01","42.54","","-0.24%"
"10/09/2024","42.78","42.99","43.02","42.76","","-0.37%"
"10/08/2024","42.94","42.81","43.08","42.68","","0.42%"
"10/07/2024","42.76","42.35","42.97","42.29","","1.08%"
"10/04/2024","42.30","42.36","42.67","42.20","","-0.02%"
"10/03/2024","42.31","42.14","42.68","42.05","","0.50%"
"10/02/2024","42.10","42.30","42.52","42.02","","-0.41%"
"10/01/2024","42.27","42.44","42.71","42.16","","-0.32%"
"09/30/2024","42.41","42.52","42.80","42.35","","-0.20%"
"09/27/2024","42.49","42.77","42.84","42.39","","-0.56%"
"09/26/2024","42.73","42.53","42.89","42.49","","0.59%"
"09/25/2024","42.48","43.05","43.13","42.46","","-1.21%"
"09/24/2024","43.01","42.78","43.08","42.66","","0.62%"
"09/23/2024","42.74","43.00","43.22","42.70","","-0.56%"
"09/20/2024","42.98","43.14","43.18","42.62","","-0.25%"
"09/19/2024","43.09","43.24","43.27","42.91","","-0.21%"
"09/18/2024","43.18","43.20","43.52","43.14","","0.03%"
"09/17/2024","43.17","43.49","43.50","43.16","","-0.62%"
"09/16/2024","43.44","43.20","43.59","43.16","","0.68%"
"09/13/2024","43.15","43.22","43.38","43.10","","-0.06%"
"09/12/2024","43.17","42.81","43.24","42.76","","0.91%"
"09/11/2024","42.78","42.89","42.97","42.71","","-0.10%"
"09/10/2024","42.83","42.98","43.06","42.83","","-0.24%"
"09/09/2024","42.93","43.24","43.61","42.92","","-0.61%"
"09/06/2024","43.19","43.51","43.53","43.05","","-0.65%"
"09/05/2024","43.48","43.61","43.66","43.36","","-0.23%"
"09/04/2024","43.57","43.50","43.70","43.38","","0.29%"
"09/03/2024","43.45","43.76","43.94","43.40","","-0.61%"
"09/02/2024","43.72","43.46","43.84","43.40","","0.70%"
"08/30/2024","43.41","43.48","43.72","43.44","","-0.05%"
"08/29/2024","43.44","43.61","43.75","43.34","","-0.32%"
"08/28/2024","43.58","44.09","44.17","43.50","","-1.08%"
"08/27/2024","44.05","43.67","44.12","43.60","","1.01%"
"08/26/2024","43.62","44.06","44.12","43.45","","-0.89%"
"08/23/2024","44.01","44.05","44.30","43.58","","0.02%"
"08/22/2024","44.00","43.98","44.43","43.91","","0.14%"
"08/21/2024","43.93","43.69","44.07","43.59","","0.77%"
"08/20/2024","43.60","43.72","43.78","43.30","","-0.16%"
"08/19/2024","43.67","43.84","43.89","43.50","","-0.32%"
"08/16/2024","43.81","43.53","43.88","43.50","","0.73%"
"08/15/2024","43.49","43.69","43.87","43.47","","-0.39%"
"08/14/2024","43.66","44.23","44.28","43.67","","-1.23%"
"08/13/2024","44.21","44.25","44.30","43.89","","0.00%"
"08/12/2024","44.20","44.05","44.40","43.97","","0.32%"
"08/09/2024","44.06","43.78","44.16","43.73","","0.71%"
"08/08/2024","43.75","44.01","44.10","43.61","","-0.42%"
"08/07/2024","43.94","44.40","44.44","43.88","","-0.95%"
"08/06/2024","44.36","44.65","44.80","44.29","","-0.60%"
"08/05/2024","44.62","44.47","44.83","44.16","","0.56%"
"08/02/2024","44.38","44.22","44.59","44.04","","0.45%"
"08/01/2024","44.18","44.67","44.73","44.15","","-0.97%"
"07/31/2024","44.61","44.60","44.74","44.33","","0.11%"
"07/30/2024","44.56","44.82","45.01","44.52","","-0.51%"
"07/29/2024","44.79","45.26","45.34","44.65","","-0.79%"
"07/26/2024","45.15","44.90","45.38","44.87","","0.64%"
"07/25/2024","44.86","44.68","45.02","44.62","","0.48%"
"07/24/2024","44.65","45.08","45.13","44.64","","-0.90%"
"07/23/2024","45.05","45.35","45.40","44.88","","-0.55%"
"07/22/2024","45.30","45.10","45.43","45.08","","0.62%"
"07/19/2024","45.02","45.04","45.21","44.97","","0.08%"
